onset	duration	trial_type	response_time	trial_number	response_error
16	4	baseline	1.792097	1	-7.46286048200676
20	4	baseline	1.174084	2	14.4146669862871
24	4	baseline	1.291888	3	-6.34019174590987
28	4	baseline	1.115175	4	-18.996815979813
32	4	baseline	0.971686	5	-13.9192966593074
36	4	baseline	0.806011	6	-1.46646299712533
40	4	baseline	0.960508	7	-5.18379803152499
44	4	baseline	0.866121	8	7.36877576333539
48	4	baseline	0.74826	9	-3.13224276484994
52	4	baseline	0.939741	10	-5.36650949733696
56	4	baseline	0.901668	11	-11.5342595294489
60	4	baseline	0.877792	12	-8.65388066003278
64	4	baseline	0.752104	13	3.33136591783951
68	4	baseline	1.165833	14	-13.9500019011604
72	4	baseline	0.883969	15	-11.1336504234382
76	4	baseline	0.765709	16	29.9287775607124
80	4	baseline	0.80984	17	-8.35963087925452
84	4	baseline	0.690869	18	3.39853368564054
88	4	baseline	0.719037	19	2.70824062769722
92	4	baseline	0.608386	20	-1.40982069079924
96	4	baseline	0.698911	21	9.04725745547718
100	4	baseline	0.727914	22	1.20692659071738
104	4	baseline	0.762583	23	11.8734921108471
108	4	baseline	0.722576	24	17.9392590181521
112	4	baseline	0.594612	25	8.36501437102152
116	4	baseline	0.694443	26	-9.5309420699662
120	4	baseline	0.778364	27	-6.01354769031265
124	4	baseline	0.674594	28	3.95318796982752
128	4	baseline	0.78437	29	-4.01440975438962
132	4	baseline	0.832509	30	3.221441809818
136	4	baseline	0.765156	31	-5.8244851390061
140	4	baseline	0.685291	32	-23.1384030838285
144	4	baseline	0.809267	33	-11.9307821901476
148	4	baseline	0.617308	34	0.683206100256288
152	4	baseline	0.774702	35	5.66077527171956
156	4	baseline	0.868611	36	-6.34019174590987
160	4	baseline	0.960687	37	-4.97643825051438
164	4	baseline	0.8233	38	12.61062269537
168	4	baseline	0.748691	39	-13.4887789302411
172	4	baseline	0.99592	40	-10.4515236891262
176	4	baseline	1.036525	41	4.37584636062854
180	4	baseline	0.714653	42	-16.2948378389969
184	4	baseline	0.918043	43	6.86902416765851
188	4	baseline	1.107787	44	-9.49637276830644
192	4	baseline	0.973459	45	4.87317364064672
196	4	baseline	0.974673	46	-23.9401761507033
200	4	baseline	0.826607	47	14.5974630797978
204	4	baseline	0.981475	48	-1.20841852163497
208	4	baseline	1.09022	49	7.77897465996371
212	4	baseline	0.884554	50	7.83986551226826
216	4	baseline	1.093689	51	21.3197359333775
220	4	baseline	0.705701	52	-2.22647837253688
224	4	baseline	0.78236	53	10.7559545057608
228	4	baseline	0.840419	54	-7.7634292316587
232	4	baseline	0.887163	55	9.78827134056532
236	4	baseline	0.996166	56	-5.5119499753912
240	4	baseline	0.897018	57	-11.5403862994473
244	4	baseline	0.994847	58	-6.44202845580733
248	4	baseline	1.208951	59	-3.21387020104193
252	4	baseline	1.264851	60	-7.00524935399778
256	4	baseline	1.175073	61	3.754519678008
260	4	baseline	0.883649	62	-16.1527475415389
264	4	baseline	0.876293	63	8.58060378087347
268	4	baseline	0.774551	64	-6.3363679256067
272	4	baseline	0.593578	65	6.76874123465478
