onset	duration	trial_type	response_time	trial_number	response_error
16	4	washout	0.913383	1	-9.95288661463943
20	4	washout	0.968994	2	14.9018221950127
24	4	washout	0.943599	3	-3.5569746635848
28	4	washout	0.880912	4	1.87197701414598
32	4	washout	0.948324	5	-57.5882604142989
36	4	washout	0.869165	6	-9.52410520563687
40	4	washout	1.091251	7	-12.6561098422104
44	4	washout	0.884586	8	-16.9756174716014
48	4	washout	0.774386	9	-5.13873500250627
52	4	washout	0.889117	10	-10.3537122220394
56	4	washout	0.958738	11	10.7615807207858
60	4	washout	0.991145	12	-8.17232545560581
64	4	washout	0.993184	13	-31.4141698255886
68	4	washout	1.219102	14	0.10428099552697
72	4	washout	0.952963	15	-41.8719807449761
76	4	washout	1.113036	16	-24.1103537077802
80	4	washout	0.879589	17	-2.9645967985283
84	4	washout	0.888945	18	-5.46481328073188
88	4	washout	0.938227	19	16.6528468971064
92	4	washout	0.916583	20	-28.467320546663
96	4	washout	0.769698	21	5.60531303235827
100	4	washout	0.943946	22	25.6081058725411
104	4	washout	1.234849	23	20.3718188669692
108	4	washout	1.75147	24	18.4252809033323
112	4	washout	0.864368	25	-24.6758501770579
116	4	washout	0.77786	26	0.377430273779544
120	4	washout	1.117694	27	-34.8755957981274
124	4	washout	1.173191	28	-9.44411441211721
128	4	washout	1.433908	29	-15.9632567139032
132	4	washout	1.353373	30	26.2258732763318
136	4	washout	1.114652	31	-48.4480409778865
140	4	washout	0.979512	32	-2.64794810566914
144	4	washout	1.229818	33	-13.7529194374355
148	4	washout	1.434165	34	-26.3896825084911
152	4	washout	1.635693	35	0.161539743597369
156	4	washout	0.917784	36	-11.4388277044006
160	4	washout	1.126344	37	3.88946696477077
164	4	washout	1.055839	38	13.7349700695779
168	4	washout	0.956518	39	-10.5850545238623
172	4	washout	1.432638	40	2.53325173876001
176	4	washout	0.94972	41	-15.3606337457188
180	4	washout	0.881571	42	-16.2092940630457
184	4	washout	1.236849	43	-0.598798396150193
188	4	washout	1.518287	44	-10.8734734175599
192	4	washout	1.124848	45	-1.29191933515337
196	4	washout	1.104269	46	-25.6937439217888
200	4	washout	1.018885	47	3.3147492920097
204	4	washout	1.452488	48	2.83397526108191
208	4	washout	1.069492	49	-31.1561745750316
212	4	washout	1.050802	50	-15.6323542114088
216	4	washout	0.994741	51	5.74908545357825
220	4	washout	1.235168	52	7.41321692365392
224	4	washout	1.064563	53	-5.8133245197565
228	4	washout	1.531634	54	-19.5872652782468
232	4	washout	1.142997	55	23.2090214749809
236	4	washout	1.229145	56	25.8747098806996
240	4	washout	1.509117	57	-7.42242171753785
244	4	washout	1.003003	58	-12.5326116212363
248	4	washout	1.049139	59	-7.80738548794848
252	4	washout	0.820539	60	-6.6145386576553
256	4	washout	1.057051	61	0.980556842065413
260	4	washout	1.803051	62	-51.7497836014744
264	4	washout	0.001748	63	-2.793031700099
268	4	washout	1.278765	64	-57.9032565652709
272	4	washout	1.019021	65	-17.2805135503312
276	4	washout	1.230766	66	-13.0518835233166
280	4	washout	1.397494	67	11.9006609521238
284	4	washout	1.205386	68	-7.4309822657495
288	4	washout	1.507127	69	-8.89663216871177
292	4	washout	1.399239	70	-14.1809774986511
296	4	washout	1.176048	71	30.698227690626
300	4	washout	0.834066	72	-7.8297381151655
304	4	washout	1.175085	73	3.99958339382204
308	4	washout	1.110521	74	-13.4404438249173
312	4	washout	1.210063	75	9.31497380049304
316	4	washout	1.288894	76	-1.95934691590844
320	4	washout	1.258611	77	-8.73224660166993
324	4	washout	1.254867	78	0.344930280663322
328	4	washout	1.26107	79	56.7386373543207
332	4	washout	1.35057	80	-18.7446018848489
336	4	washout	1.027782	81	-115.347722270779
340	4	washout	0.711215	82	-11.4857183151546
344	4	washout	0.832375	83	13.8494538610713
348	4	washout	0.972685	84	-5.85663159626795
352	4	washout	1.126262	85	7.19163596415743
356	4	washout	0.937032	86	11.5691237750747
360	4	washout	1.169417	87	-6.99205645224203
364	4	washout	1.337295	88	-2.64071752989252
368	4	washout	0.942868	89	26.1798452060214
372	4	washout	0.868821	90	-11.6063475866718
376	4	washout	1.104846	91	-11.5841992440307
380	4	washout	0.879647	92	25.2649551482793
384	4	washout	0.91886	93	-6.35943861847825
388	4	washout	1.000557	94	0.211466978975782
392	4	washout	1.2825	95	19.9595276477059
396	4	washout	1.056167	96	-9.67512035224381
400	4	washout	1.313155	97	-17.1686604887915
404	4	washout	0.820579	98	-6.13348360296655
408	4	washout	1.060543	99	15.7207811850113
412	4	washout	1.115012	100	-0.912563502421207
416	4	washout	0.88867	101	6.79381682595263
420	4	washout	1.123495	102	17.8491071647589
424	4	washout	0.862378	103	-9.41448783013704
428	4	washout	1.065546	104	-7.06297087166167
432	4	washout	1.147052	105	-30.3033941891534
436	4	washout	0.973569	106	-4.52254799963138
440	4	washout	1.176724	107	-11.494889617731
444	4	washout	1.003489	108	13.5358425003525
448	4	washout	0.93933	109	-22.9715441404238
452	4	washout	0.912712	110	-12.4261514209003
456	4	washout	0.98131	111	0.833275974905808
460	4	washout	0.947472	112	-8.2742591740453
464	4	washout	1.062375	113	38.6598082540901
468	4	washout	1.087211	114	-32.3585699971398
472	4	washout	0.892817	115	-6.83274816283515
476	4	washout	0.860286	116	-4.43520237123764
480	4	washout	1.048328	117	15.7084532867813
484	4	washout	0.842965	118	-21.0630507061013
488	4	washout	0.831922	119	17.6961358244985
492	4	washout	1.057142	120	-24.6268721669372
