onset	duration	trial_type	response_time	trial_number	response_error
16	4	baseline	2.557332	1	-19.5072108496513
20	4	baseline	0.801999	2	-11.381561448128
24	4	baseline	0.577656	3	-2.75196396364874
28	4	baseline	0.758704	4	4.49665513174097
32	4	baseline	0.861618	5	-7.63334197606486
36	4	baseline	1.007999	6	-1.58611461118211
40	4	baseline	0.838464	7	-6.09684562609644
44	4	baseline	0.829678	8	10.4077618349861
48	4	baseline	0.800808	9	3.78691283198549
52	4	baseline	0.739989	10	-4.30559285539935
56	4	baseline	0.739034	11	-5.1909735845722
60	4	baseline	0.666357	12	-11.0028394742654
64	4	baseline	0.792817	13	-13.765920561538
68	4	baseline	0.690296	14	-5.45488562307867
72	4	baseline	0.686409	15	4.17506288301563
76	4	baseline	0.608358	16	30.9549722203419
80	4	baseline	0.626432	17	21.0137172927571
84	4	baseline	0.846654	18	-8.17683442115028
88	4	baseline	0.854379	19	0.390231584083015
92	4	baseline	0.720793	20	-4.40744130589167
96	4	baseline	0.851636	21	-0.281359792563274
100	4	baseline	0.638292	22	-0.80316765358641
104	4	baseline	0.638911	23	-5.913059278005
108	4	baseline	0.761152	24	-7.69291530938016
112	4	baseline	0.816705	25	-0.281952523917268
116	4	baseline	0.849475	26	-4.4480589997619
120	4	baseline	0.881635	27	14.1949549822603
124	4	baseline	0.735314	28	-5.42509635877387
128	4	baseline	0.709131	29	-14.4353569076348
132	4	baseline	0.652258	30	-0.17632173678961
136	4	baseline	0.675791	31	-9.46891250035669
140	4	baseline	0.666019	32	-5.97881912287419
144	4	baseline	0.683744	33	10.8715331846471
148	4	baseline	0.589033	34	0.898547909349006
152	4	baseline	0.604	35	-5.83685419497684
156	4	baseline	0.802185	36	-14.2851669722287
160	4	baseline	0.525873	37	1.05138690255483
164	4	baseline	0.854544	38	38.6598082540901
168	4	baseline	0.634892	39	-23.268041458768
172	4	baseline	0.697867	40	-9.13821619858075
176	4	baseline	0.666274	41	-1.84411948504468
180	4	baseline	0.626712	42	2.25705044787246
