onset	duration	trial_type	response_time	trial_number	response_error
16	4	baseline	1.282127	1	-5.67734062907771
20	4	baseline	0.648294	2	1.7832291140716
24	4	baseline	0.259087	3	114.284522409606
28	4	baseline	0.986968	4	-7.78838526207109
32	4	baseline	1.007764	5	15.8772528182679
36	4	baseline	0.644748	6	-9.27138887676975
40	4	baseline	0.754165	7	-32.0528157252479
44	4	baseline	0.758491	8	-20.7153104579169
48	4	baseline	0.760369	9	-14.3399050199258
52	4	baseline	0.77929	10	-44.4812141955242
56	4	baseline	0.824016	11	22.1120205950376
60	4	baseline	0.716553	12	23.7233150160274
64	4	baseline	0.708755	13	0.373880160987567
68	4	baseline	0.650206	14	-0.173348836335399
72	4	baseline	0.755595	15	-0.397836096215462
76	4	baseline	0.704244	16	-11.4697714131864
80	4	baseline	0.704542	17	0.261472871265275
84	4	baseline	0.76829	18	33.2243271950983
88	4	baseline	0.72453	19	-15.2188387155716
92	4	baseline	0.740107	20	6.16452436657972
96	4	baseline	0.807884	21	-23.1547707047805
100	4	baseline	0.720244	22	-50.5228166248039
104	4	baseline	0.767057	23	-18.7423398985219
108	4	baseline	0.784169	24	17.9916586877584
112	4	baseline	0.891859	25	-13.9085027223409
116	4	baseline	0.774209	26	14.9676366200509
120	4	baseline	0.880045	27	38.6311216666219
124	4	baseline	0.931123	28	-6.12596081965017
128	4	baseline	0.810256	29	-9.44507471675004
132	4	baseline	0.880698	30	9.31844082353886
136	4	baseline	0.814754	31	-22.4330532562132
140	4	baseline	0.788734	32	21.5435053766781
144	4	baseline	0.797046	33	-7.36070030868161
148	4	baseline	0.672502	34	26.9011076603515
152	4	baseline	0.588867	35	25.4780893389935
156	4	baseline	0.722551	36	-4.69060237410122
160	4	baseline	0.818571	37	37.1240261166353
164	4	baseline	0.765647	38	-3.11169369129586
168	4	baseline	0.753749	39	-13.1612609670499
172	4	baseline	0.819638	40	-37.170153926415
176	4	baseline	0.642433	41	1.90678880516144
180	4	baseline	0.76455	42	-6.33023567508355
184	4	baseline	0.667194	43	14.2037126309048
188	4	baseline	0.718299	44	14.7122118574008
192	4	baseline	0.849962	45	24.6375292045679
196	4	baseline	1.193707	46	-22.3030890707637
200	4	baseline	0.709001	47	13.6900594402542
204	4	baseline	0.70738	48	-6.64588686924224
