onset	duration	trial_type	response_time	trial_number	response_error
16	4	baseline	1.437212	1	-2.16313326769611
20	4	baseline	0.866907	2	10.3276363016361
24	4	baseline	n/a	3	n/a
28	4	baseline	0.709912	4	1.80225193166972
32	4	baseline	1.10717	5	-16.4840792393292
36	4	baseline	0.950683	6	-4.17056157174979
40	4	baseline	1.874001	7	-23.7697275009352
44	4	baseline	0.923754	8	4.6613056227329
48	4	baseline	1.10056	9	-0.129461451935114
52	4	baseline	0.938254	10	-14.8317747225874
56	4	baseline	1.310326	11	9.07620313793404
60	4	baseline	0.834376	12	9.72702252813428
64	4	baseline	1.743004	13	5.91141525690032
68	4	baseline	0.789953	14	-0.374554197528546
72	4	baseline	0.881567	15	-25.9408039728045
76	4	baseline	1.189296	16	-9.50778198390645
80	4	baseline	0.928812	17	-5.78796117024229
84	4	baseline	0.749067	18	-10.4809640399153
88	4	baseline	0.729285	19	-31.6978820724496
92	4	baseline	0.72628	20	-6.17283127399964
96	4	baseline	1.380833	21	7.9145697910328
100	4	baseline	0.790798	22	-21.0807194459135
104	4	baseline	1.098997	23	-5.87065597988252
108	4	baseline	1.138538	24	10.7022542833303
112	4	baseline	0.949151	25	-8.05449023879643
116	4	baseline	0.953139	26	0.876387851738481
120	4	baseline	1.583002	27	-0.375505094321755
124	4	baseline	0.785133	28	-4.36329706273847
128	4	baseline	0.887576	29	-13.1679406381631
132	4	baseline	0.788867	30	9.59771007673177
136	4	baseline	1.218147	31	-0.998392155235384
140	4	baseline	0.65703	32	13.2672722628199
144	4	baseline	0.805033	33	-22.9985279887408
148	4	baseline	0.837466	34	-2.79451173742591
152	4	baseline	0.767401	35	8.630029499305
156	4	baseline	0.917006	36	9.12705119937207
160	4	baseline	0.793556	37	-1.8012889290821
164	4	baseline	0.855594	38	24.1584702799115
168	4	baseline	0.862002	39	-13.5723236837594
172	4	baseline	0.774504	40	-13.6907500828576
176	4	baseline	0.77489	41	8.38704728483314
180	4	baseline	1.112758	42	7.79983253902418
184	4	baseline	1.03272	43	3.47234406896111
188	4	baseline	0.787064	44	1.38444276518993
192	4	baseline	0.695746	45	21.337329432816
196	4	baseline	0.686604	46	-4.69027080002808
200	4	baseline	0.758135	47	-13.1881195247969
204	4	baseline	0.663782	48	14.7234511424217
208	4	baseline	0.633405	49	-22.368534486545
212	4	baseline	0.654243	50	18.4375706326351
216	4	baseline	0.959877	51	8.76047456796786
220	4	baseline	0.603998	52	18.2773892520153
224	4	baseline	0.817911	53	-15.1777207917187
228	4	baseline	1.062237	54	-10.899451351026
232	4	baseline	1.485801	55	0.43923235018308
236	4	baseline	0.774266	56	-10.6423279763121
240	4	baseline	0.804243	57	10.9991241658318
244	4	baseline	0.770371	58	-2.44245533023747
248	4	baseline	0.789215	59	-4.23024661740189
252	4	baseline	0.944393	60	3.51624326416842
256	4	baseline	0.923285	61	1.63780946786699
260	4	baseline	0.696487	62	-0.558827775349141
264	4	baseline	0.926355	63	-9.5967257189172
268	4	baseline	0.842162	64	-8.18185764786769
272	4	baseline	0.689142	65	1.26107764643851
276	4	baseline	1.230145	66	23.696249841956
280	4	baseline	0.688489	67	-11.5936557265819
284	4	baseline	0.825301	68	-4.48734913735238
288	4	baseline	0.57915	69	35.0699502934006
292	4	baseline	0.835571	70	-9.46601667260028
296	4	baseline	1.176732	71	-6.70484441011627
300	4	baseline	1.034998	72	-14.7301051372904
304	4	baseline	0.656937	73	-11.7916657518645
308	4	baseline	0.825592	74	23.0990710064231
312	4	baseline	0.889275	75	29.0975166038179
316	4	baseline	0.8251	76	12.7851686762828
320	4	baseline	0.749033	77	6.06834397705666
324	4	baseline	0.901068	78	1.47142319601841
328	4	baseline	0.769254	79	9.34385692835227
332	4	baseline	0.896634	80	-4.16654655551418
336	4	baseline	0.613485	81	1.34892685020165
340	4	baseline	1.067356	82	-4.21394266137959
344	4	baseline	0.977668	83	-13.5681561477792
348	4	baseline	0.880684	84	-22.66033609506
352	4	baseline	0.652635	85	5.80053940678019
356	4	baseline	0.888723	86	7.43182067512849
360	4	baseline	0.742101	87	5.48065457159102
364	4	baseline	0.926515	88	2.17966982003545
368	4	baseline	0.629168	89	1.08683074267012
372	4	baseline	0.902538	90	0.523229024504355
376	4	baseline	0.730022	91	17.1240468874944
380	4	baseline	0.782026	92	-3.17012297018803
384	4	baseline	0.957054	93	1.3370419663995
388	4	baseline	0.762453	94	3.59648815557511
392	4	baseline	1.004286	95	3.65515956785887
396	4	baseline	0.634393	96	12.7271979779726
400	4	baseline	0.645476	97	8.23065438658692
404	4	baseline	0.8047	98	7.28574396846654
408	4	baseline	0.655703	99	-13.3692069056489
412	4	baseline	0.542252	100	-6.56858086699984
416	4	baseline	0.59226	101	8.3600644390258
420	4	baseline	0.720861	102	-2.8815021575682
424	4	baseline	0.516748	103	-31.2892501907836
428	4	baseline	0.803202	104	-3.70448609950429
432	4	baseline	0.597116	105	7.35787014029988
436	4	baseline	0.595023	106	4.20128762649448
440	4	baseline	0.882999	107	20.4483569875811
444	4	baseline	0.84944	108	9.30532818716486
448	4	baseline	0.654535	109	-9.79707074703436
452	4	baseline	0.746804	110	-9.15739936964251
456	4	baseline	0.863041	111	7.24833531101065
460	4	baseline	0.936764	112	-5.32737817604507
464	4	baseline	0.733281	113	22.3932394489329
468	4	baseline	0.687242	114	9.69202172343317
472	4	baseline	0.574313	115	19.8338314624041
476	4	baseline	0.711161	116	10.2260553215177
480	4	baseline	0.515833	117	16.6102715321748
484	4	baseline	1.169581	118	-0.430265172438202
488	4	baseline	0.899688	119	3.23162655475847
492	4	baseline	0.670936	120	7.75557734450003
496	4	rotation	0.643669	121	31.5504240814401
500	4	rotation	0.967607	122	42.6915031875969
504	4	rotation	0.955876	123	47.2495299202797
508	4	rotation	1.279901	124	47.0841662109076
512	4	rotation	1.548996	125	73.1342614823405
516	4	rotation	1.800441	126	40.2748257789423
520	4	rotation	0.658979	127	45.7280507055146
524	4	rotation	0.860788	128	40.6021343617361
528	4	rotation	0.775402	129	30.4836226987762
532	4	rotation	0.632683	130	47.5654628691585
536	4	rotation	0.690619	131	10.9382667832665
540	4	rotation	0.58642	132	43.3001993291444
544	4	rotation	0.546718	133	38.6598082540901
548	4	rotation	0.534725	134	34.2291399920262
552	4	rotation	0.546393	135	35.7670419035826
556	4	rotation	0.613336	136	22.8197455379471
560	4	rotation	0.516967	137	40.9528050993642
564	4	rotation	0.802525	138	33.6456798016057
568	4	rotation	0.91782	139	24.3924334127411
572	4	rotation	0.668256	140	44.0147537639418
576	4	rotation	0.726855	141	39.8088538334109
580	4	rotation	0.765484	142	75.1230474076957
584	4	rotation	0.763873	143	27.4452587907157
588	4	rotation	0.58402	144	24.7968199044618
592	4	rotation	0.895338	145	60.9264344843436
596	4	rotation	0.775596	146	49.0980945680078
600	4	rotation	0.805049	147	50.298987510803
604	4	rotation	0.717562	148	51.300221426601
608	4	rotation	0.575744	149	30.7668314865383
612	4	rotation	0.753736	150	30.3251066633829
616	4	rotation	0.705755	151	25.7318492643792
620	4	rotation	0.673338	152	48.4857003008032
624	4	rotation	0.532949	153	55.2176718827915
628	4	rotation	0.859304	154	29.4471279105449
632	4	rotation	0.660964	155	10.5366443107353
636	4	rotation	0.593436	156	27.0895671397104
640	4	rotation	0.829928	157	39.1358692305822
644	4	rotation	0.901943	158	17.173012439431
648	4	rotation	0.602572	159	53.8538789026087
652	4	rotation	0.675969	160	29.7791847532876
656	4	rotation	0.539908	161	34.8011610328706
660	4	rotation	0.591068	162	25.9389802007203
664	4	rotation	0.78797	163	57.4656949724274
668	4	rotation	0.620074	164	46.9498047222799
672	4	rotation	0.537293	165	26.2089537245122
676	4	rotation	0.702085	166	31.5915303454473
