onset	duration	trial_type	response_time	trial_number	response_error
16	4	washout	1.330482	1	-20.2566475429888
20	4	washout	0.638713	2	-12.7318041224206
24	4	washout	0.710002	3	38.6598082540901
28	4	washout	0.742239	4	-49.066537048174
32	4	washout	1.242201	5	19.5674148706724
36	4	washout	1.5655	6	29.236706146401
40	4	washout	0.660336	7	-15.9772013409328
44	4	washout	0.713868	8	-40.5388596255018
48	4	washout	0.696809	9	-17.4408418879296
52	4	washout	0.61252	10	-48.14232397994
56	4	washout	0.860214	11	-70.9506829714405
60	4	washout	1.070031	12	-35.6710749431066
64	4	washout	0.709591	13	-22.5058930861642
68	4	washout	0.880966	14	-50.2447396733427
72	4	washout	0.857055	15	-17.9526958049847
76	4	washout	0.762549	16	-1.77883551505158
80	4	washout	0.627104	17	-13.0266419026288
84	4	washout	1.01671	18	-22.9037741566729
88	4	washout	0.796567	19	-42.0168922063897
92	4	washout	0.750462	20	-20.6728742317481
96	4	washout	1.402193	21	-38.7973330080799
100	4	washout	1.911819	22	3.38078526519813
104	4	washout	1.103835	23	-11.9521272721832
108	4	washout	0.606444	24	-16.2939372871789
112	4	washout	0.667946	25	-95.1677773928903
116	4	washout	0.904451	26	-11.8782336330405
120	4	washout	0.894506	27	-18.9352352201685
124	4	washout	0.864599	28	10.9528149533496
128	4	washout	0.62627	29	-28.2128274937081
132	4	washout	0.692575	30	6.9909095860643
136	4	washout	1.1593	31	-30.0024140865293
140	4	washout	0.821562	32	-9.51924952520115
144	4	washout	0.580621	33	-37.5300316828069
148	4	washout	0.690726	34	-1.75174010388557
152	4	washout	0.604246	35	12.8162866088011
156	4	washout	0.59118	36	-16.4825143421167
160	4	washout	0.711529	37	-19.1414575588665
164	4	washout	0.631225	38	-45.8118842121275
168	4	washout	0.874431	39	-31.4270187232767
172	4	washout	1.041354	40	-28.5828542688274
176	4	washout	1.696284	41	-50.4663032824825
180	4	washout	1.108635	42	53.3025332697867
184	4	washout	0.608477	43	10.9114359614599
188	4	washout	0.824596	44	-14.3463716818975
192	4	washout	0.716176	45	-10.7300899588073
196	4	washout	0.758944	46	-19.7893279190012
200	4	washout	0.608756	47	-20.4325987395349
204	4	washout	0.631952	48	-31.4455414462592
208	4	washout	0.840524	49	-22.8718746229156
212	4	washout	0.976216	50	-0.705765104363341
216	4	washout	0.657051	51	-50.4991634527629
220	4	washout	0.80134	52	-20.7606983226923
224	4	washout	0.95147	53	-22.6813204302971
228	4	washout	0.857102	54	-7.5482525523807
232	4	washout	0.509323	55	-18.0501030254514
236	4	washout	1.544271	56	-23.9953782009287
240	4	washout	0.777882	57	10.8422879005021
244	4	washout	0.967644	58	-25.5552722870055
248	4	washout	0.918794	59	-18.4080916847232
252	4	washout	0.841679	60	-3.7662773292995
256	4	washout	0.934057	61	38.6598082540901
260	4	washout	1.033988	62	-31.3279777526409
264	4	washout	0.998287	63	2.03522769954184
268	4	washout	0.889344	64	-5.57985336407709
272	4	washout	0.953269	65	-2.75139975729947
276	4	washout	0.862565	66	-14.2378140513483
280	4	washout	0.969521	67	6.80204062885973
284	4	washout	0.974388	68	-5.41662887787454
288	4	washout	1.225649	69	3.98978796736078
292	4	washout	1.669454	70	-38.714575509571
296	4	washout	0.737479	71	9.80040821225941
300	4	washout	0.822406	72	-21.2790645842523
304	4	washout	1.146141	73	2.64898381434481
308	4	washout	1.061847	74	-22.9937262346724
312	4	washout	0.770177	75	1.58637100081084
316	4	washout	1.060696	76	-1.69947852700907
320	4	washout	2.038466	77	-17.3809681379104
324	4	washout	1.799974	78	-2.32252444352607
328	4	washout	0.945058	79	0.129556372132447
332	4	washout	0.91654	80	-0.472522330852717
336	4	washout	2.004051	81	-15.7341405129401
340	4	washout	0.892742	82	-22.5743474278179
344	4	washout	0.860637	83	15.4356676968586
348	4	washout	0.864527	84	-9.32474422763847
352	4	washout	0.738514	85	-25.9067970443707
356	4	washout	1.286807	86	3.59417009027415
360	4	washout	1.867654	87	-11.5210512174883
364	4	washout	1.112615	88	-3.32647420065799
368	4	washout	1.254681	89	0.229072765737756
372	4	washout	1.092739	90	-3.67879172453692
376	4	washout	0.946668	91	-13.5005109864641
380	4	washout	1.056836	92	-18.4421527709358
384	4	washout	1.552564	93	-17.2359933415808
388	4	washout	1.144773	94	-5.12880016265333
392	4	washout	2.27893	95	-11.2263383187183
396	4	washout	0.726439	96	-10.8923202892897
400	4	washout	0.761986	97	-8.95645581488907
404	4	washout	0.713112	98	-4.56471078697601
408	4	washout	0.877732	99	20.1843730214039
412	4	washout	0.844946	100	-4.86948318313239
416	4	washout	1.2147	101	-24.7108490425198
420	4	washout	0.763558	102	-3.75696127432589
424	4	washout	1.031486	103	-20.3657693751593
428	4	washout	0.909487	104	-6.12794580027141
432	4	washout	0.850873	105	-9.59009424212337
436	4	washout	0.769893	106	-7.25032484609621
440	4	washout	1.039349	107	-14.2345550592537
444	4	washout	1.01638	108	-12.916173400495
448	4	washout	0.800099	109	9.93546144206998
452	4	washout	0.737024	110	22.3637879047323
456	4	washout	0.596808	111	-5.83106366402777
460	4	washout	0.567403	112	13.1607121037985
464	4	washout	0.754632	113	-16.3059714971351
468	4	washout	0.702363	114	-11.4249055592521
472	4	washout	1.00946	115	-13.3822575481969
476	4	washout	0.532977	116	25.8559822913861
480	4	washout	0.928294	117	-4.46333150431006
484	4	washout	0.787117	118	-16.514124085696
488	4	washout	0.708535	119	3.33275236527682
492	4	washout	0.995904	120	-22.8287118627386
