onset	duration	trial_type	response_time	trial_number	response_error
16	4	washout	0.619637	1	-11.72034151319
20	4	washout	0.663261	2	-14.2771883215017
24	4	washout	0.482302	3	-51.1103814683596
28	4	washout	0.441767	4	-55.5600585740271
32	4	washout	0.67973	5	-10.5006185422818
36	4	washout	0.407369	6	-9.31924506007852
40	4	washout	0.387845	7	-31.6907731817726
44	4	washout	0.544124	8	-46.6000157412422
48	4	washout	0.494393	9	-3.47098314816665
52	4	washout	0.403349	10	-10.7318544252002
56	4	washout	0.437259	11	-39.2091960313661
60	4	washout	0.605486	12	-43.5339469858908
64	4	washout	0.429175	13	-32.024142172386
68	4	washout	0.428781	14	-32.19862612228
72	4	washout	0.412329	15	-6.98934215907632
76	4	washout	0.493861	16	-31.7519281774862
80	4	washout	0.430289	17	-45.8654163286413
84	4	washout	0.499717	18	-29.7519477277456
88	4	washout	0.433173	19	-4.19299623093074
92	4	washout	0.377011	20	-22.6739139746438
96	4	washout	0.574222	21	-48.4672086627942
100	4	washout	0.692064	22	-34.8160835005058
104	4	washout	0.365111	23	-23.3736020311907
108	4	washout	0.48732	24	-33.1677489793311
112	4	washout	0.331585	25	-9.55676441506705
116	4	washout	0.411073	26	-33.7296101920791
120	4	washout	0.471865	27	-18.1996502267075
124	4	washout	0.380921	28	-39.2060218766647
128	4	washout	0.494206	29	-50.3498964559628
132	4	washout	0.443763	30	-1.4367217168815
136	4	washout	0.519941	31	-46.9496611568182
140	4	washout	0.378031	32	-7.43694849197146
144	4	washout	0.431617	33	-21.0409907854308
148	4	washout	0.360734	34	-26.8924786475244
152	4	washout	0.367202	35	-22.20720580612
156	4	washout	0.413015	36	-20.2190380852749
160	4	washout	0.522397	37	-35.6224194823209
164	4	washout	0.50166	38	-35.533118813557
168	4	washout	0.497534	39	-34.0661261914357
172	4	washout	0.559637	40	-13.7221973629828
176	4	washout	0.487933	41	-22.0648245136612
180	4	washout	0.512342	42	-12.6250787833599
184	4	washout	0.367777	43	-17.8851446954005
188	4	washout	0.487836	44	-37.6414210729622
192	4	washout	0.313878	45	-36.0612629479909
196	4	washout	0.432339	46	-11.6090573546562
200	4	washout	0.411961	47	-13.5282691972684
204	4	washout	0.40862	48	-9.16593224120321
208	4	washout	0.564379	49	-20.9442957441849
212	4	washout	0.400914	50	-12.9449700582044
216	4	washout	0.321578	51	2.60608451317606
220	4	washout	0.369004	52	-23.074101899273
224	4	washout	0.352245	53	-26.8629982348417
228	4	washout	0.36153	54	-0.192961090805107
232	4	washout	0.661168	55	20.1364965056133
236	4	washout	0.481208	56	-23.2299488425408
240	4	washout	0.385697	57	-18.8269387947991
244	4	washout	0.48391	58	-1.29306050449254
248	4	washout	0.447168	59	-34.4790978653919
252	4	washout	0.552129	60	-1.90300931337003
256	4	washout	0.328638	61	-24.2411786011709
260	4	washout	0.435051	62	-33.1277566788553
264	4	washout	0.678848	63	-42.235556880386
268	4	washout	0.490881	64	0.458574723490017
272	4	washout	0.544451	65	-27.7204311266399
276	4	washout	0.488513	66	2.77039759578746
280	4	washout	0.391064	67	-28.0850949284053
284	4	washout	0.36381	68	-3.41573812758816
288	4	washout	0.388668	69	-8.52521985465734
292	4	washout	0.500275	70	-24.9390793034707
296	4	washout	0.571268	71	-20.5028370106425
300	4	washout	0.506172	72	-25.0635761925958
304	4	washout	0.359394	73	-5.198015782746
308	4	washout	0.447403	74	-25.5678215067002
312	4	washout	0.557542	75	-20.7664579321506
316	4	washout	0.449536	76	-27.4892345988774
320	4	washout	0.509623	77	-17.8490893730575
324	4	washout	0.002012	78	-7.75849760032819
328	4	washout	0.486668	79	-38.7323491870221
332	4	washout	0.47831	80	2.27120258439723
336	4	washout	0.406383	81	-3.94084642624633
340	4	washout	0.356212	82	-6.41885440177267
344	4	washout	0.545842	83	3.42938224357603
348	4	washout	0.491973	84	-29.651123617379
352	4	washout	0.358305	85	2.40678556583522
356	4	washout	0.449983	86	-45.1220740982512
360	4	washout	0.50204	87	-34.7062322576555
364	4	washout	0.406329	88	-3.62978682570797
368	4	washout	0.383925	89	17.1633835984135
372	4	washout	0.524279	90	-7.24011051019315
376	4	washout	0.438916	91	-10.0524579447495
380	4	washout	0.367461	92	-33.9067505474082
384	4	washout	0.448369	93	13.2430461777005
388	4	washout	0.493274	94	-7.67159433282546
392	4	washout	0.389726	95	-24.9739235889856
396	4	washout	0.358056	96	-20.1152709054119
400	4	washout	0.521166	97	-4.92136496689213
404	4	washout	0.644509	98	-31.0009501643901
408	4	washout	0.428889	99	-25.1928991503054
412	4	washout	0.393298	100	-0.356812787525128
416	4	washout	0.417567	101	-17.1444092521099
420	4	washout	0.428625	102	-31.9628266107582
424	4	washout	0.518298	103	-39.4188676570812
428	4	washout	0.444989	104	54.4118953853679
432	4	washout	0.551909	105	-11.6822051069678
436	4	washout	0.378938	106	-16.8599400642738
440	4	washout	0.438351	107	-32.4534400996667
444	4	washout	0.477252	108	-16.2171541385556
448	4	washout	0.419269	109	-27.9660013764243
452	4	washout	0.386099	110	-28.0911017809835
456	4	washout	0.473923	111	-15.2375985233485
460	4	washout	0.60539	112	-9.73552319308879
464	4	washout	0.357019	113	-5.66779845271089
468	4	washout	0.443149	114	-17.7552473385453
472	4	washout	0.475545	115	-22.0037519626958
476	4	washout	0.484959	116	-3.69600131265424
480	4	washout	0.526119	117	-36.1553060211686
484	4	washout	0.67154	118	6.17475706841148
488	4	washout	0.379435	119	-1.0726735018469
492	4	washout	0.548898	120	-2.59349376239177
