onset	duration	trial_type	response_time	trial_number	response_error
16	4	washout	1.106916	1	-44.7346945737656
20	4	washout	1.136681	2	-39.1776093127526
24	4	washout	1.199028	3	-25.4537767099516
28	4	washout	0.822751	4	-24.4651563989101
32	4	washout	0.934159	5	-27.7759298579236
36	4	washout	0.937869	6	-18.6807029048552
40	4	washout	0.871499	7	-38.3197924046447
44	4	washout	0.846838	8	-122.865044758893
48	4	washout	0.96205	9	-45.0287004198069
52	4	washout	0.714003	10	-65.7166688870832
56	4	washout	0.906209	11	-65.3084902649522
60	4	washout	1.213801	12	-39.0438194759885
64	4	washout	0.763497	13	-29.3582854106172
68	4	washout	0.625957	14	-16.3939851975865
72	4	washout	0.794979	15	-15.6561597383171
76	4	washout	0.870647	16	-10.413048730392
80	4	washout	0.644408	17	-1.56233056049415
84	4	washout	0.709963	18	-12.7812717111747
88	4	washout	1.224409	19	-63.4935736481377
92	4	washout	0.818593	20	-35.1133458163325
96	4	washout	0.588805	21	-24.7959823161912
100	4	washout	1.168701	22	-16.1743157968934
104	4	washout	0.720874	23	-27.2210848064118
108	4	washout	0.702377	24	-37.7874426294654
112	4	washout	0.704452	25	-29.9839241569181
116	4	washout	0.830779	26	-25.0137837296964
120	4	washout	0.831197	27	-8.77821976017903
124	4	washout	1.134384	28	-2.11038143926257
128	4	washout	0.99047	29	-2.81878754647724
132	4	washout	0.882639	30	3.89720413193587
136	4	washout	0.656967	31	-21.1969471308708
140	4	washout	0.737566	32	-29.1542195049662
144	4	washout	0.649716	33	-8.63484164021383
148	4	washout	0.647062	34	-13.7840510030788
152	4	washout	0.737857	35	-29.4176225424505
156	4	washout	0.880827	36	-13.7897025366921
160	4	washout	0.63306	37	-2.05627610646666
164	4	washout	0.602077	38	2.86960789539263
168	4	washout	0.82717	39	-11.7622954908664
172	4	washout	0.875312	40	-5.04921444165308
176	4	washout	0.681803	41	-16.141045599025
180	4	washout	0.805522	42	-18.1338756746025
184	4	washout	0.708126	43	-27.294800434036
188	4	washout	0.522745	44	-7.63897598673595
192	4	washout	0.761119	45	2.43213250915664
196	4	washout	0.641867	46	-14.6433928484882
200	4	washout	0.716443	47	-27.2870891027394
204	4	washout	0.676394	48	-8.37807189011206
208	4	washout	0.920093	49	-27.0728914908119
212	4	washout	0.940873	50	-16.9786137381149
216	4	washout	0.6218	51	-10.6634354591685
220	4	washout	0.699927	52	-12.3622961300475
224	4	washout	0.604385	53	-5.20470136722371
228	4	washout	0.630013	54	-29.7629175200996
232	4	washout	0.492768	55	-3.72541258410551
236	4	washout	0.601128	56	9.57232818828248
240	4	washout	0.648734	57	-17.7112118951432
244	4	washout	0.777723	58	-8.18437563659256
248	4	washout	0.619116	59	-9.82950078484414
252	4	washout	0.68263	60	-10.7705918913711
256	4	washout	0.589377	61	-14.2845058629013
260	4	washout	0.651023	62	-16.3573829424546
264	4	washout	0.712778	63	2.34359431923318
268	4	washout	0.754004	64	-11.093584194269
272	4	washout	0.811485	65	-52.0075413825117
276	4	washout	0.776838	66	-12.2174475570942
280	4	washout	0.652786	67	-24.330988357331
284	4	washout	0.855287	68	-0.441078638291231
288	4	washout	0.688606	69	-12.783133000538
292	4	washout	0.790971	70	-11.481977662547
296	4	washout	0.741483	71	-26.2364226305865
300	4	washout	0.762767	72	-6.45984600061372
304	4	washout	0.644205	73	-18.5128703652473
308	4	washout	0.640713	74	23.4405292041266
312	4	washout	0.589898	75	-21.4812144533438
316	4	washout	0.736725	76	-0.164099213559682
320	4	washout	0.530986	77	-20.113008221034
324	4	washout	0.651012	78	-13.4296603305417
328	4	washout	0.516599	79	-22.7119095703979
332	4	washout	0.654423	80	5.18203205204266
336	4	washout	0.845804	81	0.0580329951544427
340	4	washout	0.763958	82	-20.7199028298956
344	4	washout	0.874757	83	-15.1208724760513
348	4	washout	0.873217	84	-2.26561467285751
352	4	washout	0.738274	85	-10.844131143967
356	4	washout	0.653113	86	-6.90102430049114
360	4	washout	0.653299	87	-27.7358680831242
364	4	washout	0.585827	88	-9.94531979098388
368	4	washout	0.755398	89	-3.86229958145234
372	4	washout	0.684666	90	-7.22668962425113
376	4	washout	0.6503	91	-4.33700352468233
380	4	washout	0.674319	92	0.8733540602636
384	4	washout	0.592873	93	1.70750539125815
388	4	washout	0.706606	94	-24.1280830629862
392	4	washout	0.669052	95	-1.00249467130612
396	4	washout	0.60043	96	-5.99293613548247
400	4	washout	0.705539	97	1.01348799284023
404	4	washout	0.731114	98	-6.89432356143613
408	4	washout	0.626391	99	7.50854860327619
412	4	washout	0.544016	100	8.64572338527151
416	4	washout	0.554718	101	-6.35525262937577
420	4	washout	0.676402	102	-5.01165163595342
424	4	washout	0.765517	103	-1.97755070897753
428	4	washout	0.58914	104	-13.3296019741009
432	4	washout	0.53988	105	19.0510824831068
436	4	washout	0.477326	106	-35.4584095241609
440	4	washout	0.804475	107	8.27028651151278
444	4	washout	0.604835	108	-8.07123035726486
448	4	washout	0.726209	109	0.82096755981898
452	4	washout	0.715724	110	-9.85561870494679
456	4	washout	0.601061	111	-4.41625281648922
460	4	washout	0.60942	112	5.8159034587884
464	4	washout	0.655071	113	-3.00282884402716
468	4	washout	0.75672	114	-9.73063013808416
472	4	washout	0.562325	115	-20.5974550188332
476	4	washout	0.477134	116	-8.63092269877004
480	4	washout	0.643639	117	2.85857518504463
484	4	washout	0.788204	118	9.70154311047427
488	4	washout	0.700581	119	-17.2202946939592
492	4	washout	0.734225	120	-23.8904950255055
