onset	duration	trial_type	response_time	trial_number	response_error
16	4	washout	1.170614	1	8.07954787490568
20	4	washout	0.998346	2	-7.82974697472268
24	4	washout	1.061974	3	-3.6478536605286
28	4	washout	1.006455	4	-13.9725773801776
32	4	washout	0.89706	5	-35.6401009472441
36	4	washout	1.036597	6	-7.03261905151326
40	4	washout	0.682275	7	-15.1104730067769
44	4	washout	0.838439	8	-14.7357771090617
48	4	washout	0.917762	9	-19.8124626137652
52	4	washout	0.894923	10	-26.6627146778403
56	4	washout	1.093436	11	-23.3972281167443
60	4	washout	1.021625	12	-0.212204954163962
64	4	washout	1.422175	13	-18.8133705784912
68	4	washout	0.811087	14	-8.76549753638737
72	4	washout	0.84499	15	128.65980825409
76	4	washout	0.795576	16	-25.6929350786912
80	4	washout	0.736262	17	-18.5850378493353
84	4	washout	0.885552	18	-3.89820269013072
88	4	washout	0.748412	19	-10.3638185899662
92	4	washout	0.913091	20	-6.53521254439587
96	4	washout	0.811063	21	-14.6024092785336
100	4	washout	1.145101	22	-4.4227785403587
104	4	washout	1.133806	23	3.69506391876033
108	4	washout	1.247968	24	-8.87169711527788
112	4	washout	0.769922	25	8.16631719329684
116	4	washout	0.849892	26	-3.62302958057043
120	4	washout	0.954031	27	-27.8819253976002
124	4	washout	0.853296	28	7.60064005900722
128	4	washout	0.717984	29	-8.81161986554149
132	4	washout	0.922176	30	2.89245042334866
136	4	washout	0.814143	31	-7.22801240264011
140	4	washout	0.976901	32	-13.3791994510047
144	4	washout	0.819361	33	-26.2805260667173
148	4	washout	0.872859	34	3.40433004868871
152	4	washout	0.982966	35	-7.71016539699245
156	4	washout	0.80192	36	-14.5424704275048
160	4	washout	0.86049	37	1.81614506730388
164	4	washout	0.896102	38	-5.66917166845276
168	4	washout	0.842427	39	-13.8803723801348
172	4	washout	0.902679	40	-6.74917433393093
176	4	washout	0.883545	41	3.94758143702229
180	4	washout	0.736412	42	3.6810532029722
184	4	washout	0.775076	43	-12.8337827227891
188	4	washout	0.845229	44	-4.24798609573085
192	4	washout	0.691526	45	-28.7744030676287
196	4	washout	0.769406	46	8.15349950656963
200	4	washout	0.857503	47	-19.7334252830295
204	4	washout	0.791351	48	7.9877591191235
208	4	washout	0.795978	49	-19.0885052699102
212	4	washout	0.906498	50	-7.96178172825195
216	4	washout	1.019465	51	2.43904595739364
220	4	washout	1.076544	52	7.15922894671836
224	4	washout	0.870785	53	9.52070320201966
228	4	washout	0.782635	54	-15.3788708192465
232	4	washout	0.713762	55	-3.73225726135688
236	4	washout	0.725663	56	10.8490198769656
240	4	washout	0.758487	57	-8.10034248705529
244	4	washout	0.663866	58	-11.3428783650821
248	4	washout	0.924641	59	0.720900003561814
252	4	washout	0.773948	60	-11.7233526688956
256	4	washout	0.777811	61	-7.19312187443707
260	4	washout	0.87545	62	-12.9839666629653
264	4	washout	0.766154	63	-23.3893907542223
268	4	washout	0.742327	64	5.21886289661461
272	4	washout	0.92278	65	2.99597213804433
276	4	washout	0.778516	66	-3.09592882650997
280	4	washout	0.686299	67	7.34991924203948
284	4	washout	1.150148	68	1.28463756269947
288	4	washout	1.715376	69	-8.9005019290403
292	4	washout	0.712491	70	-15.393701707324
296	4	washout	0.795181	71	10.2249551687651
300	4	washout	0.961114	72	1.03430744701098
304	4	washout	0.847371	73	-35.8872367623974
308	4	washout	1.066562	74	-8.34408726037505
312	4	washout	1.596624	75	7.30819653635201
316	4	washout	1.200222	76	-13.420447322336
320	4	washout	1.220457	77	-0.890241682755024
324	4	washout	1.45688	78	4.18557350462372
328	4	washout	0.874369	79	-3.34019071692205
332	4	washout	0.752227	80	-8.22371728220598
336	4	washout	0.700579	81	-14.2113229811661
340	4	washout	1.118827	82	-10.3077125372378
344	4	washout	0.797558	83	2.66908016478211
348	4	washout	0.786268	84	-14.2705610966277
352	4	washout	0.828834	85	-2.27741532255958
356	4	washout	0.748785	86	-19.133959231016
360	4	washout	0.669213	87	17.6088564240305
364	4	washout	0.654813	88	-13.5626939438386
368	4	washout	0.681717	89	17.8076870262111
372	4	washout	0.793249	90	-15.3130553639686
376	4	washout	1.055468	91	1.93795113514935
380	4	washout	0.897322	92	30.30013038656
384	4	washout	1.307643	93	-3.05822054051923
388	4	washout	0.88942	94	14.7478971843946
392	4	washout	0.749796	95	-6.96005572797485
396	4	washout	0.879805	96	7.15596917714411
400	4	washout	0.710751	97	-21.1144643260658
404	4	washout	0.81056	98	-4.99681066971169
408	4	washout	1.57132	99	5.52727277596452
412	4	washout	0.962356	100	-8.92189919415193
416	4	washout	1.18532	101	7.88763012362617
420	4	washout	0.940813	102	25.8116261027967
424	4	washout	1.468943	103	-1.9917186660594
428	4	washout	1.072528	104	-1.68364156433775
432	4	washout	0.868856	105	-13.2287936505677
436	4	washout	1.160678	106	-7.74227593977076
440	4	washout	1.10321	107	11.5675876310783
444	4	washout	1.242391	108	-19.8223392620397
448	4	washout	0.908704	109	-4.31827150371034
452	4	washout	0.898079	110	6.54942267974555
456	4	washout	0.912467	111	-3.57534986559227
460	4	washout	0.912557	112	-8.40913700780527
464	4	washout	0.701565	113	-13.352713248801
468	4	washout	0.706225	114	-1.47354345549512
472	4	washout	0.765711	115	-16.2022923447562
476	4	washout	0.661253	116	0.45111744274414
480	4	washout	0.794128	117	4.39650643368833
484	4	washout	0.662536	118	-1.94073620824953
488	4	washout	0.781509	119	23.513908172682
492	4	washout	0.816929	120	-5.52747057439956
