onset	duration	trial_type	response_time	trial_number	response_error
16	4	baseline	0.892456	1	7.17711281944136
20	4	baseline	0.611873	2	-4.99241499324954
24	4	baseline	0.543628	3	-7.23933127168503
28	4	baseline	0.441791	4	39.1832894371904
32	4	baseline	0.518336	5	-25.3909156889231
36	4	baseline	0.408983	6	-27.475964562917
40	4	baseline	0.488881	7	-14.3060489564353
44	4	baseline	0.505951	8	-8.10974310058724
48	4	baseline	0.560484	9	0.758666800133636
52	4	baseline	0.493182	10	-35.0083293399697
56	4	baseline	0.585226	11	-18.1110741491676
60	4	baseline	0.676204	12	4.72350638132269
64	4	baseline	0.54863	13	39.7380721627652
68	4	baseline	0.869109	14	-45.0008846958274
72	4	baseline	0.633601	15	40.960393904511
76	4	baseline	0.601426	16	15.6252553842451
80	4	baseline	0.546448	17	-16.9244577030347
84	4	baseline	0.293445	18	-16.3388905778402
88	4	baseline	0.209691	19	160.421578212432
92	4	baseline	0.540255	20	-12.4101213208085
96	4	baseline	0.540207	21	-4.46669990859262
100	4	baseline	0.206038	22	-0.834292380360013
104	4	baseline	0.574615	23	6.80565735772753
108	4	baseline	0.593974	24	-11.5252911215419
112	4	baseline	0.254195	25	2.12784548209802
116	4	baseline	0.726352	26	-8.81921936712839
120	4	baseline	0.656123	27	2.32484099385165
124	4	baseline	0.774537	28	-21.7650690144927
128	4	baseline	0.529669	29	-11.2426676881731
132	4	baseline	0.55354	30	7.71297244557707
136	4	baseline	0.498895	31	-45.5380752931764
140	4	baseline	0.501092	32	0.223515436607481
144	4	baseline	0.654058	33	-33.9067557817625
148	4	baseline	0.524787	34	-11.2103782698396
152	4	baseline	0.622153	35	-9.81546113032171
156	4	baseline	0.548732	36	-7.81239539999081
160	4	baseline	0.490168	37	-38.2970481711976
164	4	baseline	0.489225	38	12.3692464504629
168	4	baseline	0.538642	39	-15.2996564490016
172	4	baseline	0.444928	40	-9.16579815194438
176	4	baseline	0.547469	41	-7.79282348532561
180	4	baseline	0.514025	42	4.71524046110549
184	4	baseline	0.421696	43	-17.8549121792849
188	4	baseline	0.48899	44	-0.720005372644166
192	4	baseline	0.366971	45	-37.570108728646
196	4	baseline	0.489104	46	-8.459261465739
200	4	baseline	0.484881	47	37.8039773789407
204	4	baseline	0.501469	48	17.6967658742138
208	4	baseline	0.206919	49	-123.363956905443
212	4	baseline	0.541596	50	9.38729101673764
216	4	baseline	0.501749	51	5.32789993826642
220	4	baseline	0.592561	52	12.303044285266
224	4	baseline	0.580572	53	-9.22159139960114
228	4	baseline	0.482743	54	-9.22197103451601
232	4	baseline	0.476532	55	3.91170853298343
236	4	baseline	0.461173	56	-6.51969211366605
240	4	baseline	0.440047	57	9.32346338785277
244	4	baseline	0.684924	58	-7.39454952778109
248	4	baseline	0.577393	59	-141.34019174591
252	4	baseline	0.402556	60	-28.1772198643878
256	4	baseline	0.658794	61	1.29391686164731
260	4	baseline	0.506092	62	-8.28570240485025
264	4	baseline	0.635075	63	-16.4659808798848
268	4	baseline	0.533008	64	25.0648794521191
272	4	baseline	0.439121	65	-19.4885284148661
276	4	baseline	0.605008	66	3.1891236867577
280	4	baseline	0.512838	67	-16.331575993697
284	4	baseline	0.597858	68	-8.44603467872416
288	4	baseline	0.769835	69	-8.70399736416831
292	4	baseline	0.604652	70	5.99492534854667
296	4	baseline	0.598181	71	24.5577419846702
300	4	baseline	0.424989	72	20.1935149573399
304	4	baseline	0.486439	73	15.0857705191134
308	4	baseline	0.430342	74	-24.5374906600034
312	4	baseline	0.656725	75	18.290974229779
316	4	baseline	0.636586	76	13.7595757800416
320	4	baseline	0.539555	77	-29.4084794870777
324	4	baseline	0.48376	78	5.57557810604267
328	4	baseline	0.665496	79	-14.384666550266
332	4	baseline	0.39325	80	15.0868025059247
336	4	baseline	0.413096	81	17.5122766961487
340	4	baseline	0.434081	82	-47.7171505461938
344	4	baseline	0.496775	83	-5.98196601934906
348	4	baseline	0.539409	84	0.782021524768574
352	4	baseline	0.562634	85	-19.1013881456477
356	4	baseline	0.465654	86	19.4057685228118
360	4	baseline	0.633917	87	28.6005719872849
364	4	baseline	0.479235	88	14.7998258656515
368	4	baseline	0.423206	89	22.6069984754649
372	4	baseline	0.464381	90	8.92037005307958
376	4	baseline	0.541099	91	19.1115982549523
380	4	baseline	0.468543	92	24.3931424121133
384	4	baseline	0.484206	93	-34.9401445088818
388	4	baseline	0.487703	94	8.41608379748311
392	4	baseline	0.482302	95	19.7205589717164
396	4	baseline	0.365713	96	-18.5692354768603
400	4	baseline	0.57884	97	13.4578654991924
404	4	baseline	0.498167	98	-36.460799248505
408	4	baseline	0.521873	99	-54.2089852160588
412	4	baseline	0.656191	100	5.47926049220904
416	4	baseline	0.535553	101	-29.1241972076754
420	4	baseline	0.487032	102	-15.7155763989362
424	4	baseline	0.67407	103	16.0665867060912
428	4	baseline	0.553485	104	20.9822387636053
432	4	baseline	0.475153	105	-12.6209667842902
436	4	baseline	0.553782	106	20.2696446491201
440	4	baseline	0.477693	107	-0.039780659731153
444	4	baseline	0.598793	108	6.87665818917117
448	4	baseline	0.526215	109	-1.48237395738462
452	4	baseline	0.472996	110	11.2802489507765
456	4	baseline	0.496701	111	8.05677213727515
460	4	baseline	0.485563	112	-17.206441751569
464	4	baseline	0.580912	113	12.2005414792914
468	4	baseline	0.410675	114	-5.36437990325347
472	4	baseline	0.531826	115	4.6953946600217
476	4	baseline	0.4816	116	23.7598312277868
480	4	baseline	0.500541	117	19.1187729020843
484	4	baseline	0.605788	118	34.2548289375827
488	4	baseline	0.542501	119	-33.1423092550854
492	4	baseline	0.475544	120	-41.8884218794213
496	4	rotation	0.482547	121	34.6725055180822
500	4	rotation	0.579681	122	58.0929039934961
504	4	rotation	0.548839	123	32.4977152804444
508	4	rotation	0.402485	124	52.4814630915786
512	4	rotation	0.484395	125	60.2305116789738
516	4	rotation	0.656961	126	57.0577993941726
520	4	rotation	0.500082	127	37.7565867583207
524	4	rotation	0.438652	128	86.2935127003998
528	4	rotation	0.560481	129	28.305878502237
532	4	rotation	0.576041	130	6.66953918819291
536	4	rotation	0.614856	131	55.8293741897217
540	4	rotation	0.556974	132	-0.459816744710906
544	4	rotation	0.602829	133	36.0261417465363
548	4	rotation	0.601769	134	39.5647379224425
552	4	rotation	0.604265	135	50.3177585682607
556	4	rotation	0.488688	136	45.5410633512598
560	4	rotation	0.424156	137	36.3674699775526
564	4	rotation	0.610264	138	45.0122918837098
568	4	rotation	0.614477	139	43.5989078915144
572	4	rotation	0.641408	140	16.1452304364011
576	4	rotation	0.500684	141	47.6066259461661
580	4	rotation	0.602347	142	60.5307011851511
584	4	rotation	0.536952	143	37.5216869093759
588	4	rotation	0.420833	144	41.7921958095773
592	4	rotation	0.412644	145	5.57395620869887
596	4	rotation	0.430828	146	30.7257697571176
600	4	rotation	0.418059	147	20.0234141739605
604	4	rotation	0.608948	148	5.69225242664241
608	4	rotation	0.47722	149	65.383773080673
612	4	rotation	0.48909	150	49.0751499613081
616	4	rotation	0.617296	151	77.3078871761369
620	4	rotation	0.569824	152	38.3726018473833
624	4	rotation	0.48479	153	32.8158240512575
628	4	rotation	0.632346	154	77.8986839284796
632	4	rotation	0.438735	155	29.3537584465839
636	4	rotation	0.50921	156	38.6418460263534
640	4	rotation	0.583948	157	38.8736697406865
644	4	rotation	0.584061	158	14.5633885104868
648	4	rotation	0.441994	159	8.38303942793015
652	4	rotation	0.588891	160	64.6740282840803
656	4	rotation	0.654086	161	16.9551632754465
660	4	rotation	0.491507	162	-1.32524501918487
664	4	rotation	0.430184	163	35.149128955554
668	4	rotation	0.461095	164	35.4933812309237
672	4	rotation	0.619131	165	28.4250466088689
676	4	rotation	0.582532	166	28.4111296020425
680	4	rotation	0.512429	167	40.2432895937191
684	4	rotation	0.656456	168	26.4655690160617
688	4	rotation	0.656401	169	51.0555970228015
692	4	rotation	0.545336	170	28.3305121299957
696	4	rotation	0.540255	171	23.8732050792746
700	4	rotation	0.52062	172	41.8511613973614
704	4	rotation	0.478682	173	-17.3534732258681
708	4	rotation	0.490093	174	67.0032349080854
712	4	rotation	0.587102	175	37.3147706121364
716	4	rotation	0.652638	176	11.8547396535098
720	4	rotation	0.426379	177	6.57018882637656
724	4	rotation	0.554364	178	46.0252649032379
728	4	rotation	0.605087	179	43.695230032123
732	4	rotation	0.602092	180	16.550616607111
736	4	rotation	0.431385	181	34.3188727974077
740	4	rotation	0.567115	182	26.8683530544979
744	4	rotation	0.535189	183	44.2755378408398
748	4	rotation	0.558098	184	-0.0445234088875748
752	4	rotation	0.758419	185	11.6732190446724
756	4	rotation	0.488163	186	45.0786663661052
760	4	rotation	0.548487	187	29.316781039155
764	4	rotation	0.494604	188	-15.3286352684852
768	4	rotation	0.497884	189	87.8574419521997
772	4	rotation	0.49549	190	44.9381849900235
776	4	rotation	0.650637	191	18.7745908564626
780	4	rotation	0.476013	192	22.6242094348152
784	4	rotation	0.440968	193	-0.547994929673511
788	4	rotation	0.720966	194	67.0476978453325
792	4	rotation	0.630517	195	-7.86662097734182
