onset	duration	trial_type	response_time	trial_number	response_error
16	4	baseline	n/a	1	n/a
20	4	baseline	0.802673	2	1.47348334105369
24	4	baseline	0.796196	3	-0.0784432796902907
28	4	baseline	0.710634	4	-18.138680046094
32	4	baseline	0.71883	5	4.78677839693031
36	4	baseline	0.564601	6	7.569868809155
40	4	baseline	0.748348	7	-25.528148346392
44	4	baseline	0.675675	8	-10.6051768919187
48	4	baseline	0.763439	9	9.29898216829195
52	4	baseline	1.316392	10	-19.6567253936111
56	4	baseline	1.212348	11	-8.09256904655385
60	4	baseline	1.006691	12	1.03326864491027
64	4	baseline	0.810743	13	-24.1671253499532
68	4	baseline	1.380114	14	-20.8257682816973
72	4	baseline	1.233336	15	-17.0303696825807
76	4	baseline	1.350932	16	-14.2826082855693
80	4	baseline	1.51849	17	8.71223282476727
84	4	baseline	1.416087	18	-14.1821546217019
88	4	baseline	1.664885	19	-17.4343100765159
92	4	baseline	2.003941	20	-8.80917538728902
96	4	baseline	1.094816	21	-19.7734606594068
100	4	baseline	1.207311	22	-22.248250099784
104	4	baseline	0.71285	23	4.97962366126781
108	4	baseline	1.152218	24	16.9615057757876
112	4	baseline	1.437715	25	-18.2260424089352
116	4	baseline	0.806434	26	-12.9318306704827
120	4	baseline	0.922144	27	8.62871068312303
124	4	baseline	0.918964	28	-6.4087938426205
128	4	baseline	1.69247	29	3.24363084788087
132	4	baseline	1.201346	30	-1.02072207004705
136	4	baseline	1.702785	31	-23.6031083855922
140	4	baseline	1.227894	32	12.7595035179
144	4	baseline	1.040417	33	1.66265720611429
148	4	baseline	1.015646	34	2.26271162139038
152	4	baseline	1.298126	35	6.77969957817698
156	4	baseline	1.302334	36	-11.8659334131352
160	4	baseline	1.123061	37	-0.459468183619381
164	4	baseline	1.135956	38	-26.3623973529981
168	4	baseline	1.441944	39	-24.7676296561862
172	4	baseline	1.115905	40	2.00643172434511
176	4	baseline	1.071963	41	-7.38271942980302
180	4	baseline	1.015758	42	1.76552846327669
184	4	baseline	1.057608	43	-51.3401917459099
