onset	duration	trial_type	response_time	trial_number	response_error
16	4	baseline	1.597433	1	16.6985960770176
20	4	baseline	1.218988	2	12.4746414191648
24	4	baseline	1.335894	3	-2.20686935706874
28	4	baseline	0.925304	4	-1.89349078017835
32	4	baseline	1.193894	5	-7.57027996650756
36	4	baseline	0.766386	6	-3.06412309368419
40	4	baseline	1.263247	7	3.90957887749705
44	4	baseline	0.999466	8	-0.270814475768789
48	4	baseline	1.124445	9	-11.8633876524891
52	4	baseline	1.526102	10	-4.18689343133181
56	4	baseline	1.406818	11	-15.8185354201283
60	4	baseline	1.634971	12	-16.6693150546809
64	4	baseline	1.010531	13	11.7036574697892
68	4	baseline	0.77959	14	-8.5258480227425
72	4	baseline	0.992309	15	-1.43012624503095
76	4	baseline	1.222194	16	-3.21150367046845
80	4	baseline	1.007273	17	0.384206413561436
84	4	baseline	0.888128	18	0.382061243608717
88	4	baseline	1.011835	19	-5.47275903715087
92	4	baseline	0.759609	20	-12.3906879490823
96	4	baseline	0.881457	21	-10.751813589967
100	4	baseline	1.237937	22	9.76778158139281
104	4	baseline	0.797601	23	-6.08834157024386
108	4	baseline	1.150721	24	-16.3082458068482
112	4	baseline	1.178485	25	3.5011140296319
116	4	baseline	0.783783	26	0.672879379966586
120	4	baseline	1.149932	27	10.3107784686422
124	4	baseline	0.606352	28	3.90470281474979
128	4	baseline	0.837786	29	-13.8151049329498
132	4	baseline	0.733785	30	-3.48733186012747
136	4	baseline	1.231444	31	-3.06335722607172
140	4	baseline	0.828439	32	11.6701214364526
144	4	baseline	0.926285	33	-2.2096126119889
148	4	baseline	1.032169	34	-12.8342536914729
152	4	baseline	0.897673	35	0.819711949980695
156	4	baseline	1.00008	36	-5.4882829066715
160	4	baseline	1.200583	37	-9.81793153459166
164	4	baseline	0.78003	38	3.2893947706345
168	4	baseline	0.767667	39	-8.05853669565924
172	4	baseline	0.790009	40	179.963486814064
176	4	baseline	1.316888	41	-3.85276633149075
180	4	baseline	0.996155	42	15.4279297656875
184	4	baseline	1.103987	43	-3.58119956304679
188	4	baseline	0.936013	44	-6.92076460304451
192	4	baseline	1.109303	45	2.1776330299053
196	4	baseline	1.064402	46	2.22125701842902
200	4	baseline	1.056907	47	3.85046201472501
204	4	baseline	1.22744	48	1.01084206900064
208	4	baseline	0.71804	49	3.73088211956331
212	4	baseline	1.011389	50	10.7153788436436
216	4	baseline	0.547012	51	14.3496410858107
220	4	baseline	1.336606	52	8.72998889649218
224	4	baseline	0.99263	53	5.06003887575249
228	4	baseline	0.936398	54	14.9938454387722
232	4	baseline	0.940793	55	14.7639442696155
236	4	baseline	1.053336	56	0.820144009492869
240	4	baseline	0.940518	57	-4.1371316406362
244	4	baseline	1.168849	58	-6.24932884891443
248	4	baseline	0.841207	59	-1.040389374451
252	4	baseline	0.811439	60	-0.823845058605929
256	4	baseline	1.184312	61	10.500248245828
260	4	baseline	0.685211	62	-6.39726971803981
264	4	baseline	0.877107	63	-0.976612655517744
268	4	baseline	1.052834	64	-4.82411005498632
272	4	baseline	0.771937	65	16.6611226460303
276	4	baseline	0.83381	66	-17.6199673875683
280	4	baseline	0.770138	67	-1.60514208635071
284	4	baseline	0.958227	68	1.42228549663371
